Location,X_Coord_ERTS89,Y_Coord_ERTS89,Year_of_Outbreak,Lat_WGS84,Lon_WGS84
A Coruña,2843040,2433930,1574,-8.395792,43.370905
Aachen,4044750,3081160,1517,6.081532,50.775454
Aachen,4044750,3081160,1622,6.081532,50.775454
Aachen,4044750,3081160,1401,6.081532,50.775454
Aachen,4044750,3081160,1428,6.081532,50.775454
Abbeville,3737760,3032250,1349,1.827856,50.109723
Abbeville,3737760,3032250,1481,1.827856,50.109723
Abbeville,3737760,3032250,1480,1.827856,50.109723
Abbeville,3737760,3032250,1582,1.827856,50.109723
Abbeville,3737760,3032250,1596,1.827856,50.109723
Abbeville,3737760,3032250,1546,1.827856,50.109723
Abbeville,3737760,3032250,1523,1.827856,50.109723
Abbeville,3737760,3032250,1596,1.827856,50.109723
Abbeville,3737760,3032250,1482,1.827856,50.109723
Abbeville,3737760,3032250,1635,1.827856,50.109723
Abbeville,3737760,3032250,1458,1.827856,50.109723
Abbeville,3737760,3032250,1483,1.827856,50.109723
Abbeville,3737760,3032250,1584,1.827856,50.109723
Abbeville,3737760,3032250,1599,1.827856,50.109723
Abbeville,3737760,3032250,1625,1.827856,50.109723
Abbeville,3737760,3032250,1636,1.827856,50.109723
Abbeville,3737760,3032250,1669,1.827856,50.109723
Abbeville,3737760,3032250,1637,1.827856,50.109723
Aberdeen,3592100,3844550,1500,-2.095482,57.147524
Aberdeen,3592100,3844550,1515,-2.095482,57.147524
Aberdeen,3592100,3844550,1539,-2.095482,57.147524
Aberdeen,3592100,3844550,1513,-2.095482,57.147524
Aberdeen,3592100,3844550,1498,-2.095482,57.147524
Aberdeen,3592100,3844550,1647,-2.095482,57.147524
Aberdeen,3592100,3844550,1546,-2.095482,57.147524
Aberdeen,3592100,3844550,1545,-2.095482,57.147524
Aberdeen,3592100,3844550,1584,-2.095482,57.147524
Aberdeen,3592100,3844550,1499,-2.095482,57.147524
Aberdeen,3592100,3844550,1604,-2.095482,57.147524
Aberdeen,3592100,3844550,1549,-2.095482,57.147524
Aberdeen,3592100,3844550,1530,-2.095482,57.147524
Abergavenny,3428780,3270500,1639,-3.020867,51.824898
Abingdon,3543880,3233570,1520,-1.284997,51.670062
Abrantes,2762810,2007000,1580,-8.197862,39.46444
Acerra,4690950,1994330,1656,14.377158,40.951713
Acomb,3549880,3607960,1631,-2.108942,54.992576
Agen,3571200,2390570,1519,0.612134,44.201523
Agen,3571200,2390570,1374,0.612134,44.201523
Agen,3571200,2390570,1515,0.612134,44.201523
Agen,3571200,2390570,1463,0.612134,44.201523
Agen,3571200,2390570,1522,0.612134,44.201523
Agen,3571200,2390570,1511,0.612134,44.201523
Agen,3571200,2390570,1562,0.612134,44.201523
Agen,3571200,2390570,1513,0.612134,44.201523
Agen,3571200,2390570,1530,0.612134,44.201523
Agen,3571200,2390570,1531,0.612134,44.201523
Agen,3571200,2390570,1537,0.612134,44.201523
Agen,3571200,2390570,1542,0.612134,44.201523
Agen,3571200,2390570,1555,0.612134,44.201523
Agen,3571200,2390570,1514,0.612134,44.201523
Agen,3571200,2390570,1510,0.612134,44.201523
Agen,3571200,2390570,1653,0.612134,44.201523
Agen,3571200,2390570,1545,0.612134,44.201523
Agen,3571200,2390570,1630,0.612134,44.201523
Agen,3571200,2390570,1494,0.612134,44.201523
Agen,3571200,2390570,1348,0.612134,44.201523
Agen,3571200,2390570,1492,0.612134,44.201523
Agen,3571200,2390570,1563,0.612134,44.201523
Agen,3571200,2390570,1586,0.612134,44.201523
Agen,3571200,2390570,1599,0.612134,44.201523
Agen,3571200,2390570,1606,0.612134,44.201523
Agen,3571200,2390570,1629,0.612134,44.201523
Agen,3571200,2390570,1585,0.612134,44.201523
Agen,3571200,2390570,1631,0.612134,44.201523
Agen,3571200,2390570,1632,0.612134,44.201523
Agen,3571200,2390570,1652,0.612134,44.201523
Agen,3571200,2390570,1491,0.612134,44.201523
Agen,3571200,2390570,1361,0.612134,44.201523
Agen,3571200,2390570,1621,0.612134,44.201523
Agen,3571200,2390570,1516,0.612134,44.201523
Agen,3571200,2390570,1628,0.612134,44.201523
Agrigento,4640490,1589380,1347,13.576944,37.311164
Alaise,4014780,2663910,1360,5.973881,47.013875
Alaise,4014780,2663910,1721,5.973881,47.013875
Alaise,4014780,2663910,1361,5.973881,47.013875
Alaise,4014780,2663910,1382,5.973881,47.013875
Alaise,4014780,2663910,1383,5.973881,47.013875
Alaise,4014780,2663910,1720,5.973881,47.013875
Alaise,4014780,2663910,1578,5.973881,47.013875
Alaise,4014780,2663910,1722,5.973881,47.013875
Alberstedt,4434070,3149880,1682,11.626615,51.448337
Albi,3690320,2346160,1463,2.148288,43.927385
Albi,3690320,2346160,1508,2.148288,43.927385
Albi,3690320,2346160,1586,2.148288,43.927385
Albi,3690320,2346160,1472,2.148288,43.927385
Albi,3690320,2346160,1348,2.148288,43.927385
Albi,3690320,2346160,1464,2.148288,43.927385
Albi,3690320,2346160,1549,2.148288,43.927385
Albi,3690320,2346160,1628,2.148288,43.927385
Albi,3690320,2346160,1630,2.148288,43.927385
Albi,3690320,2346160,1639,2.148288,43.927385
Albi,3690320,2346160,1631,2.148288,43.927385
Albi,3690320,2346160,1632,2.148288,43.927385
Albi,3690320,2346160,1587,2.148288,43.927385
Albi,3690320,2346160,1636,2.148288,43.927385
Albourne,3606460,3141690,1647,-0.203125,50.936992
Alcalá de Henares,3189000,2031790,1599,-3.364086,40.481671
Alcalá de Henares,3189000,2031790,1598,-3.364086,40.481671
Alcalá de Henares,3189000,2031790,1647,-3.364086,40.481671
Alcalá de Henares,3189000,2031790,1646,-3.364086,40.481671
Alcalá de Henares,3189000,2031790,1543,-3.364086,40.481671
Alcoi,3406910,1798060,1394,-0.477139,38.70198
Alcubierre,3452350,2138480,1650,-0.451439,41.806848
Aldborough,3732810,3341480,1637,1.242557,52.862509
Alençon,3589400,2862300,1638,0.083673,48.430684
Alés,3846630,2354020,1348,4.079001,44.127407
Alessandria,4211600,2423420,1523,8.61696,44.913232
Alessandria,4211600,2423420,1526,8.61696,44.913232
Alessandria,4211600,2423420,1524,8.61696,44.913232
Alessandria,4211600,2423420,1527,8.61696,44.913232
Alessandria,4211600,2423420,1478,8.61696,44.913232
Alessandria,4211600,2423420,1630,8.61696,44.913232
Alessandria,4211600,2423420,1525,8.61696,44.913232
Alexandrie,6227363,1155879,1799,29.919193,31.197993
Alexandrie,6227363,1155879,1816,29.919193,31.197993
Alexandrie,6227363,1155879,1572,29.919193,31.197993
Alexandrie,6227363,1155879,1723,29.919193,31.197993
Alexandrie,6227363,1155879,1818,29.919193,31.197993
Alexandrie,6227363,1155879,1656,29.919193,31.197993
Alexandrie,6227363,1155879,1705,29.919193,31.197993
Alexandrie,6227363,1155879,1704,29.919193,31.197993
Alexandrie,6227363,1155879,1706,29.919193,31.197993
Alexandrie,6227363,1155879,1832,29.919193,31.197993
Alexandrie,6227363,1155879,1817,29.919193,31.197993
Alexandrie,6227363,1155879,1797,29.919193,31.197993
Alexandrie,6227363,1155879,1796,29.919193,31.197993
Alexandrie,6227363,1155879,1833,29.919193,31.197993
Alexandrie,6227363,1155879,1814,29.919193,31.197993
Alexandrie,6227363,1155879,1812,29.919193,31.197993
Alexandrie,6227363,1155879,1781,29.919193,31.197993
Alexandrie,6227363,1155879,1573,29.919193,31.197993
Alexandrie,6227363,1155879,1653,29.919193,31.197993
Alexandrie,6227363,1155879,1654,29.919193,31.197993
Alexandrie,6227363,1155879,1655,29.919193,31.197993
Alexandrie,6227363,1155879,1348,29.919193,31.197993
Alexandrie,6227363,1155879,1662,29.919193,31.197993
Alexandrie,6227363,1155879,1701,29.919193,31.197993
Alexandrie,6227363,1155879,1815,29.919193,31.197993
Alexandrie,6227363,1155879,1759,29.919193,31.197993
Alexandrie,6227363,1155879,1798,29.919193,31.197993
Alexandrie,6227363,1155879,1810,29.919193,31.197993
Alexandrie,6227363,1155879,1813,29.919193,31.197993
Alexandrie,6227363,1155879,1361,29.919193,31.197993
Alexandrie,6227363,1155879,1795,29.919193,31.197993
Alexandrie,6227363,1155879,1834,29.919193,31.197993
Alexandrie,6227363,1155879,1784,29.919193,31.197993
Alexandrie,6227363,1155879,1348,29.919193,31.197993
Alexandrie,6227363,1155879,1783,29.919193,31.197993
Alexandrie,6227363,1155879,1560,29.919193,31.197993
Alexandrie,6227363,1155879,1561,29.919193,31.197993
Alexandrie,6227363,1155879,1564,29.919193,31.197993
Alexandrie,6227363,1155879,1693,29.919193,31.197993
Alexandrie,6227363,1155879,1697,29.919193,31.197993
Alexandrie,6227363,1155879,1703,29.919193,31.197993
Alexandrie,6227363,1155879,1357,29.919193,31.197993
Alger,3696099,1550265,1753,3.049991,36.76666
Alger,3696099,1550265,1553,3.049991,36.76666
Alger,3696099,1550265,1794,3.049991,36.76666
Alger,3696099,1550265,1795,3.049991,36.76666
Alger,3696099,1550265,1796,3.049991,36.76666
Alger,3696099,1550265,1797,3.049991,36.76666
Alger,3696099,1550265,1798,3.049991,36.76666
Alger,3696099,1550265,1780,3.049991,36.76666
Alger,3696099,1550265,1817,3.049991,36.76666
Alger,3696099,1550265,1756,3.049991,36.76666
Alger,3696099,1550265,1799,3.049991,36.76666
Alger,3696099,1550265,1816,3.049991,36.76666
Alger,3696099,1550265,1602,3.049991,36.76666
Alger,3696099,1550265,1765,3.049991,36.76666
Alger,3696099,1550265,1764,3.049991,36.76666
Alger,3696099,1550265,1758,3.049991,36.76666
Alger,3696099,1550265,1683,3.049991,36.76666
Alger,3696099,1550265,1755,3.049991,36.76666
Alger,3696099,1550265,1621,3.049991,36.76666
Alger,3696099,1550265,1754,3.049991,36.76666
Alger,3696099,1550265,1627,3.049991,36.76666
Alger,3696099,1550265,1819,3.049991,36.76666
Alger,3696099,1550265,1757,3.049991,36.76666
Alger,3696099,1550265,1643,3.049991,36.76666
Alger,3696099,1550265,1663,3.049991,36.76666
Alger,3696099,1550265,1786,3.049991,36.76666
Alger,3696099,1550265,1788,3.049991,36.76666
Alger,3696099,1550265,1783,3.049991,36.76666
Alger,3696099,1550265,1660,3.049991,36.76666
Alger,3696099,1550265,1694,3.049991,36.76666
Alger,3696099,1550265,1792,3.049991,36.76666
Alger,3696099,1550265,1609,3.049991,36.76666
Alger,3696099,1550265,1622,3.049991,36.76666
Alger,3696099,1550265,1623,3.049991,36.76666
Alger,3696099,1550265,1624,3.049991,36.76666
Alger,3696099,1550265,1626,3.049991,36.76666
Alger,3696099,1550265,1730,3.049991,36.76666
Alger,3696099,1550265,1642,3.049991,36.76666
Alger,3696099,1550265,1762,3.049991,36.76666
Alger,3696099,1550265,1665,3.049991,36.76666
Alger,3696099,1550265,1659,3.049991,36.76666
Alger,3696099,1550265,1690,3.049991,36.76666
Alger,3696099,1550265,1662,3.049991,36.76666
Alger,3696099,1550265,1664,3.049991,36.76666
Alger,3696099,1550265,1605,3.049991,36.76666
Alger,3696099,1550265,1666,3.049991,36.76666
Alger,3696099,1550265,1603,3.049991,36.76666
Alger,3696099,1550265,1673,3.049991,36.76666
Alger,3696099,1550265,1675,3.049991,36.76666
Alger,3696099,1550265,1676,3.049991,36.76666
Alger,3696099,1550265,1678,3.049991,36.76666
Alger,3696099,1550265,1680,3.049991,36.76666
Alger,3696099,1550265,1639,3.049991,36.76666
Alger,3696099,1550265,1699,3.049991,36.76666
Alger,3696099,1550265,1654,3.049991,36.76666
Alger,3696099,1550265,1700,3.049991,36.76666
Alger,3696099,1550265,1686,3.049991,36.76666
Alger,3696099,1550265,1681,3.049991,36.76666
Alger,3696099,1550265,1647,3.049991,36.76666
Alger,3696099,1550265,1641,3.049991,36.76666
Alger,3696099,1550265,1818,3.049991,36.76666
Alger,3696099,1550265,1640,3.049991,36.76666
Alger,3696099,1550265,1692,3.049991,36.76666
Alger,3696099,1550265,1682,3.049991,36.76666
Alger,3696099,1550265,1822,3.049991,36.76666
Alger,3696099,1550265,1731,3.049991,36.76666
Alger,3696099,1550265,1723,3.049991,36.76666
Alger,3696099,1550265,1785,3.049991,36.76666
Alger,3696099,1550265,1738,3.049991,36.76666
Alger,3696099,1550265,1717,3.049991,36.76666
Alger,3696099,1550265,1752,3.049991,36.76666
Alger,3696099,1550265,1751,3.049991,36.76666
Alger,3696099,1550265,1749,3.049991,36.76666
Alger,3696099,1550265,1742,3.049991,36.76666
Alger,3696099,1550265,1702,3.049991,36.76666
Alger,3696099,1550265,1740,3.049991,36.76666
Alger,3696099,1550265,1701,3.049991,36.76666
Alger,3696099,1550265,1698,3.049991,36.76666
